,0,1,2,3
434,0.08,0.15,60,207
435,0.08,0.16,60,204
436,0.08,0.17,60,204
437,0.08,0.18,60,201
438,0.08,0.19,60,195
439,0.08,0.2,60,189
440,0.08,0.21,60,184
441,0.08,0.22,60,179
442,0.08,0.23,60,173
443,0.08,0.24,60,165
444,0.08,0.25,60,157
445,0.08,0.26,60,148
446,0.08,0.27,60,143
447,0.08,0.28,60,141
448,0.08,0.29,60,139
449,0.08,0.3,60,135
450,0.08,0.31,60,134
451,0.08,0.32,60,132
452,0.08,0.33,60,130
453,0.08,0.34,60,128
454,0.08,0.35,60,126
455,0.08,0.36,60,121
456,0.08,0.37,60,118
457,0.08,0.38,60,116
458,0.08,0.39,60,115
459,0.08,0.4,60,110
460,0.08,0.41,60,106
461,0.08,0.42,60,101
462,0.08,0.43,60,92
463,0.08,0.44,60,87
464,0.08,0.45,60,81
465,0.08,0.46,60,73
466,0.08,0.47,60,67
467,0.08,0.48,60,62
468,0.08,0.49,60,56
469,0.08,0.5,60,51
470,0.08,0.51,60,43
471,0.08,0.52,60,40
472,0.08,0.53,60,36
473,0.08,0.54,60,36
474,0.08,0.55,60,32
475,0.08,0.56,60,31
476,0.08,0.57,60,28
477,0.08,0.58,60,24
478,0.08,0.59,60,19
479,0.08,0.6,60,17
480,0.09,0.01,55,176
481,0.09,0.02,55,176
482,0.09,0.03,55,176
483,0.09,0.04,55,176
484,0.09,0.05,55,176
485,0.09,0.06,55,176
486,0.09,0.07,55,176
487,0.09,0.08,55,176
488,0.09,0.09,55,176
489,0.09,0.1,55,176
490,0.09,0.11,55,176
491,0.09,0.12,55,176
492,0.09,0.13,55,176
493,0.09,0.14,55,176
494,0.09,0.15,55,176
495,0.09,0.16,55,175
496,0.09,0.17,55,175
497,0.09,0.18,55,172
498,0.09,0.19,55,169
499,0.09,0.2,55,164
500,0.09,0.21,55,161
501,0.09,0.22,55,158
502,0.09,0.23,55,153
503,0.09,0.24,55,146
504,0.09,0.25,55,138
505,0.09,0.26,55,129
506,0.09,0.27,55,125
507,0.09,0.28,55,123
508,0.09,0.29,55,121
509,0.09,0.3,55,117
510,0.09,0.31,55,117
511,0.09,0.32,55,115
512,0.09,0.33,55,114
513,0.09,0.34,55,112
514,0.09,0.35,55,110
515,0.09,0.36,55,106
516,0.09,0.37,55,105
517,0.09,0.38,55,103
518,0.09,0.39,55,102
519,0.09,0.4,55,99
520,0.09,0.41,55,95
521,0.09,0.42,55,90
522,0.09,0.43,55,82
523,0.09,0.44,55,78
524,0.09,0.45,55,72
525,0.09,0.46,55,64
526,0.09,0.47,55,60
527,0.09,0.48,55,56
528,0.09,0.49,55,50
529,0.09,0.5,55,46
530,0.09,0.51,55,38
531,0.09,0.52,55,35
532,0.09,0.53,55,32
533,0.09,0.54,55,32
534,0.09,0.55,55,28
535,0.09,0.56,55,27
536,0.09,0.57,55,24
537,0.09,0.58,55,20
538,0.09,0.59,55,16
539,0.09,0.6,55,14
540,0.1,0.01,50,150
541,0.1,0.02,50,150
542,0.1,0.03,50,150
543,0.1,0.04,50,150
544,0.1,0.05,50,150
545,0.1,0.06,50,150
546,0.1,0.07,50,150
547,0.1,0.08,50,150
548,0.1,0.09,50,150
549,0.1,0.1,50,150
550,0.1,0.11,50,150
551,0.1,0.12,50,150
552,0.1,0.13,50,150
553,0.1,0.14,50,150
554,0.1,0.15,50,150
555,0.1,0.16,50,150
556,0.1,0.17,50,150
557,0.1,0.18,50,149
558,0.1,0.19,50,146
559,0.1,0.2,50,143
560,0.1,0.21,50,141
561,0.1,0.22,50,139
562,0.1,0.23,50,136
563,0.1,0.24,50,130
564,0.1,0.25,50,124
565,0.1,0.26,50,117
566,0.1,0.27,50,113
567,0.1,0.28,50,111
568,0.1,0.29,50,109
569,0.1,0.3,50,105
570,0.1,0.31,50,105
571,0.1,0.32,50,103
572,0.1,0.33,50,102
573,0.1,0.34,50,101
574,0.1,0.35,50,100
575,0.1,0.36,50,96
576,0.1,0.37,50,95
577,0.1,0.38,50,93
578,0.1,0.39,50,92
579,0.1,0.4,50,89
580,0.1,0.41,50,85
581,0.1,0.42,50,82
582,0.1,0.43,50,74
583,0.1,0.44,50,72
584,0.1,0.45,50,68
585,0.1,0.46,50,60
586,0.1,0.47,50,56
587,0.1,0.48,50,54
588,0.1,0.49,50,48
589,0.1,0.5,50,44
590,0.1,0.51,50,36
591,0.1,0.52,50,33
592,0.1,0.53,50,31
593,0.1,0.54,50,31
594,0.1,0.55,50,27
595,0.1,0.56,50,26
596,0.1,0.57,50,23
597,0.1,0.58,50,19
598,0.1,0.59,50,15
599,0.1,0.6,50,13
600,0.11,0.01,45,120
601,0.11,0.02,45,120
602,0.11,0.03,45,120
603,0.11,0.04,45,120
604,0.11,0.05,45,120
605,0.11,0.06,45,120
606,0.11,0.07,45,120
607,0.11,0.08,45,120
608,0.11,0.09,45,120
609,0.11,0.1,45,120
610,0.11,0.11,45,120
611,0.11,0.12,45,120
612,0.11,0.13,45,120
613,0.11,0.14,45,120
614,0.11,0.15,45,120
615,0.11,0.16,45,120
616,0.11,0.17,45,120
617,0.11,0.18,45,120
618,0.11,0.19,45,119
619,0.11,0.2,45,117
620,0.11,0.21,45,115
621,0.11,0.22,45,114
622,0.11,0.23,45,114
623,0.11,0.24,45,110
624,0.11,0.25,45,105
625,0.11,0.26,45,100
626,0.11,0.27,45,97
627,0.11,0.28,45,96
628,0.11,0.29,45,94
629,0.11,0.3,45,90
630,0.11,0.31,45,90
631,0.11,0.32,45,88
632,0.11,0.33,45,87
633,0.11,0.34,45,86
634,0.11,0.35,45,85
635,0.11,0.36,45,81
636,0.11,0.37,45,80
637,0.11,0.38,45,78
638,0.11,0.39,45,77
639,0.11,0.4,45,75
640,0.11,0.41,45,72
641,0.11,0.42,45,70
642,0.11,0.43,45,64
643,0.11,0.44,45,63
644,0.11,0.45,45,59
645,0.11,0.46,45,52
646,0.11,0.47,45,49
647,0.11,0.48,45,47
648,0.11,0.49,45,43
649,0.11,0.5,45,39
650,0.11,0.51,45,33
651,0.11,0.52,45,30
652,0.11,0.53,45,28
653,0.11,0.54,45,28
654,0.11,0.55,45,24
655,0.11,0.56,45,23
656,0.11,0.57,45,20
657,0.11,0.58,45,16
658,0.11,0.59,45,13
659,0.11,0.6,45,11
660,0.12,0.01,39,88
661,0.12,0.02,39,88
662,0.12,0.03,39,88
663,0.12,0.04,39,88
664,0.12,0.05,39,88
665,0.12,0.06,39,88
666,0.12,0.07,39,88
667,0.12,0.08,39,88
668,0.12,0.09,39,88
669,0.12,0.1,39,88
670,0.12,0.11,39,88
671,0.12,0.12,39,88
672,0.12,0.13,39,88
673,0.12,0.14,39,88
674,0.12,0.15,39,88
675,0.12,0.16,39,88
676,0.12,0.17,39,88
677,0.12,0.18,39,88
678,0.12,0.19,39,88
679,0.12,0.2,39,88
680,0.12,0.21,39,88
681,0.12,0.22,39,87
682,0.12,0.23,39,87
683,0.12,0.24,39,84
684,0.12,0.25,39,81
685,0.12,0.26,39,79
686,0.12,0.27,39,77
687,0.12,0.28,39,77
688,0.12,0.29,39,75
689,0.12,0.3,39,74
690,0.12,0.31,39,74
691,0.12,0.32,39,72
692,0.12,0.33,39,71
693,0.12,0.34,39,70
694,0.12,0.35,39,69
695,0.12,0.36,39,65
696,0.12,0.37,39,64
697,0.12,0.38,39,62
698,0.12,0.39,39,61
699,0.12,0.4,39,60
700,0.12,0.41,39,57
701,0.12,0.42,39,55
702,0.12,0.43,39,49
703,0.12,0.44,39,48
704,0.12,0.45,39,46
705,0.12,0.46,39,41
706,0.12,0.47,39,38
707,0.12,0.48,39,36
708,0.12,0.49,39,33
709,0.12,0.5,39,30
710,0.12,0.51,39,27
711,0.12,0.52,39,24
712,0.12,0.53,39,23
713,0.12,0.54,39,23
714,0.12,0.55,39,19
715,0.12,0.56,39,18
716,0.12,0.57,39,16
717,0.12,0.58,39,12
718,0.12,0.59,39,9
719,0.12,0.6,39,8
720,0.13,0.01,38,82
721,0.13,0.02,38,82
722,0.13,0.03,38,82
723,0.13,0.04,38,82
724,0.13,0.05,38,82
725,0.13,0.06,38,82
726,0.13,0.07,38,82
727,0.13,0.08,38,82
728,0.13,0.09,38,82
729,0.13,0.1,38,82
730,0.13,0.11,38,82
731,0.13,0.12,38,82
732,0.13,0.13,38,82
733,0.13,0.14,38,82
734,0.13,0.15,38,82
735,0.13,0.16,38,82
736,0.13,0.17,38,82
737,0.13,0.18,38,82
738,0.13,0.19,38,82
739,0.13,0.2,38,82
740,0.13,0.21,38,82
741,0.13,0.22,38,82
742,0.13,0.23,38,82
743,0.13,0.24,38,79
744,0.13,0.25,38,76
745,0.13,0.26,38,74
746,0.13,0.27,38,74
747,0.13,0.28,38,74
748,0.13,0.29,38,72
749,0.13,0.3,38,71
750,0.13,0.31,38,71
751,0.13,0.32,38,69
752,0.13,0.33,38,68
753,0.13,0.34,38,67
754,0.13,0.35,38,66
