,0,1,2,3
168,0.14,0.64,33,7
169,0.14,0.65,33,4
170,0.14,0.66,33,4
171,0.14,0.67,33,3
172,0.14,0.68,33,3
173,0.14,0.69,33,3
174,0.14,0.7,33,3
175,0.14,0.71,33,3
176,0.14,0.72,33,3
177,0.14,0.73,33,3
178,0.14,0.74,33,3
179,0.14,0.75,33,2
180,0.14,0.76,33,2
181,0.14,0.77,33,1
182,0.14,0.78,33,0
183,0.14,0.79,33,0
184,0.14,0.8,33,0
185,0.14,0.81,33,0
186,0.14,0.82,33,0
187,0.14,0.83,33,0
188,0.14,0.84,33,0
189,0.14,0.85,33,0
190,0.14,0.86,33,0
191,0.14,0.87,33,0
192,0.14,0.88,33,0
193,0.14,0.89,33,0
194,0.14,0.9,33,0
195,0.14,0.91,33,0
196,0.14,0.92,33,0
197,0.14,0.93,33,0
198,0.14,0.94,33,0
199,0.14,0.95,33,0
200,0.14,0.96,33,0
201,0.14,0.97,33,0
202,0.14,0.98,33,0
203,0.14,0.99,33,0
204,0.14,1.0,33,0
205,0.15,0.6,31,5
206,0.15,0.61,31,5
207,0.15,0.62,31,5
208,0.15,0.63,31,5
209,0.15,0.64,31,5
210,0.15,0.65,31,3
211,0.15,0.66,31,3
212,0.15,0.67,31,2
213,0.15,0.68,31,2
214,0.15,0.69,31,2
215,0.15,0.7,31,2
216,0.15,0.71,31,2
217,0.15,0.72,31,2
218,0.15,0.73,31,2
219,0.15,0.74,31,2
220,0.15,0.75,31,1
221,0.15,0.76,31,1
222,0.15,0.77,31,0
223,0.15,0.78,31,0
224,0.15,0.79,31,0
225,0.15,0.8,31,0
226,0.15,0.81,31,0
227,0.15,0.82,31,0
228,0.15,0.83,31,0
229,0.15,0.84,31,0
230,0.15,0.85,31,0
231,0.15,0.86,31,0
232,0.15,0.87,31,0
233,0.15,0.88,31,0
234,0.15,0.89,31,0
235,0.15,0.9,31,0
236,0.15,0.91,31,0
237,0.15,0.92,31,0
238,0.15,0.93,31,0
239,0.15,0.94,31,0
240,0.15,0.95,31,0
241,0.15,0.96,31,0
242,0.15,0.97,31,0
243,0.15,0.98,31,0
244,0.15,0.99,31,0
245,0.15,1.0,31,0
246,0.16,0.6,30,5
247,0.16,0.61,30,5
248,0.16,0.62,30,5
249,0.16,0.63,30,5
250,0.16,0.64,30,5
251,0.16,0.65,30,3
252,0.16,0.66,30,3
253,0.16,0.67,30,2
254,0.16,0.68,30,2
255,0.16,0.69,30,2
256,0.16,0.7,30,2
257,0.16,0.71,30,2
258,0.16,0.72,30,2
259,0.16,0.73,30,2
260,0.16,0.74,30,2
261,0.16,0.75,30,1
262,0.16,0.76,30,1
263,0.16,0.77,30,0
264,0.16,0.78,30,0
265,0.16,0.79,30,0
266,0.16,0.8,30,0
267,0.16,0.81,30,0
268,0.16,0.82,30,0
269,0.16,0.83,30,0
270,0.16,0.84,30,0
271,0.16,0.85,30,0
272,0.16,0.86,30,0
273,0.16,0.87,30,0
274,0.16,0.88,30,0
275,0.16,0.89,30,0
276,0.16,0.9,30,0
277,0.16,0.91,30,0
278,0.16,0.92,30,0
279,0.16,0.93,30,0
280,0.16,0.94,30,0
281,0.16,0.95,30,0
282,0.16,0.96,30,0
283,0.16,0.97,30,0
284,0.16,0.98,30,0
285,0.16,0.99,30,0
286,0.16,1.0,30,0
287,0.17,0.6,28,5
288,0.17,0.61,28,5
289,0.17,0.62,28,5
290,0.17,0.63,28,5
291,0.17,0.64,28,5
292,0.17,0.65,28,3
293,0.17,0.66,28,3
294,0.17,0.67,28,2
295,0.17,0.68,28,2
296,0.17,0.69,28,2
297,0.17,0.7,28,2
298,0.17,0.71,28,2
299,0.17,0.72,28,2
300,0.17,0.73,28,2
301,0.17,0.74,28,2
302,0.17,0.75,28,1
303,0.17,0.76,28,1
304,0.17,0.77,28,0
305,0.17,0.78,28,0
306,0.17,0.79,28,0
307,0.17,0.8,28,0
308,0.17,0.81,28,0
309,0.17,0.82,28,0
310,0.17,0.83,28,0
311,0.17,0.84,28,0
312,0.17,0.85,28,0
313,0.17,0.86,28,0
314,0.17,0.87,28,0
315,0.17,0.88,28,0
316,0.17,0.89,28,0
317,0.17,0.9,28,0
318,0.17,0.91,28,0
319,0.17,0.92,28,0
320,0.17,0.93,28,0
321,0.17,0.94,28,0
322,0.17,0.95,28,0
323,0.17,0.96,28,0
324,0.17,0.97,28,0
325,0.17,0.98,28,0
326,0.17,0.99,28,0
327,0.17,1.0,28,0
328,0.18,0.6,27,5
329,0.18,0.61,27,5
330,0.18,0.62,27,5
331,0.18,0.63,27,5
332,0.18,0.64,27,5
333,0.18,0.65,27,3
334,0.18,0.66,27,3
335,0.18,0.67,27,2
336,0.18,0.68,27,2
337,0.18,0.69,27,2
338,0.18,0.7,27,2
339,0.18,0.71,27,2
340,0.18,0.72,27,2
341,0.18,0.73,27,2
342,0.18,0.74,27,2
343,0.18,0.75,27,1
344,0.18,0.76,27,1
345,0.18,0.77,27,0
346,0.18,0.78,27,0
347,0.18,0.79,27,0
